Slno,State,Entity name,GST No,FC Data,FC Name,FC Seller Address 1,FC Seller Address 1.1,Seller Pin code,Location Status,HUB/FC,Hub Name,Name,Fssai,Address,HUB Buyers Address 1,HUB Buyers Address 1.1,HUB Buyers Pin code
22,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_HNU,Hennur,1.12E+13,"Survey No 34/2, Chokkanahalli Village, Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560064","Survey No 34/2, Chokkanahalli Village","Yelahanka Hobli, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560064
23,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,HOSUR_HUB,Hosur,1.12E+13,"SY. NO-5/3,Arehalli Village, Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka, 562107","SY. NO-5/3,Arehalli Village","Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka",562107
24,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KDL,Kempegowda-Sutlej,1.12E+13,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
25,Telangana,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,36AAPCA1708D1ZX,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,HYD_KMP,Kompally,1.36E+13,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal, Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana","Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078
26,Telangana,BODEGA RETAIL PRIVATE LIMITED,36AAHCB1357R1Z6,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,HYD_KMP,Kompally,1.36E+13,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal, Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana","Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078
27,Telangana,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,36AAPCA1708D1ZX,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,3P_HYD_BVG,Bhuvangiri,1.36E+13," H.No 3-35 (in 1 shutter) Wadaigudem Village, Bhuvangiri Mandal, Yadadri Bhongiri District, Telangana", H.No 3-35 (in 1 shutter) Wadaigudem Village ,"Bhuvangiri Mandal, Yadadri Bhongiri District, Telangana",508115
28,Telangana,BODEGA RETAIL PRIVATE LIMITED,36AAHCB1357R1Z6,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,3P_HYD_BVG,Bhuvangiri,1.36E+13," H.No 3-35 (in 1 shutter) Wadaigudem Village, Bhuvangiri Mandal, Yadadri Bhongiri District, Telangana", H.No 3-35 (in 1 shutter) Wadaigudem Village ,"Bhuvangiri Mandal, Yadadri Bhongiri District, Telangana",508115
29,Telangana,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,36AAPCA1708D1ZX,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,3P_HYD_SGR,Sangareddy,1.36E+13,"Sy no :388/A1, plot 11, HNO 478/24/E/M/1, ODF colony, Sangareddy  				","Sy no :388/A1, plot 11, HNO 478/24/E/M/1	","ODF colony, Sangareddy ",502001
30,Telangana,BODEGA RETAIL PRIVATE LIMITED,36AAHCB1357R1Z6,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,3P_HYD_SGR,Sangareddy,1.36E+13,"Sy no :388/A1, plot 11, HNO 478/24/E/M/1, ODF colony, Sangareddy  				","Sy no :388/A1, plot 11, HNO 478/24/E/M/1 				","ODF colony, Sangareddy ",502001
31,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,HOSUR_HUB,Hosur,1.12E+13,"SY. NO-5/3,Arehalli Village, Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka, 562107","SY. NO-5/3,Arehalli Village","Attibele Hobli, Anekal Taluk, Bangalore urban, Karnataka",562107
