slno,company_name,company_code,state,state_code,city,origin_facility_display_name,origin_facility_code,facility_code,facility_type,status,gstin,fssai_license,address_line1,address_line2,pin_code,place_of_supply,destination_hub_display_name,destination_hub_code,hub_address,hub_pin_code,receiver_company_code,receiver_gstin,default_distance_km,transporter_gstin,effective_from,effective_to,last_updated,notes
,TAILHUB PRIVATE LIMITED,TAILHUB,Karnataka,29,KML,,,,DISTRIBUTION_HUB,ACTIVE,29AAGCT1326B1ZO,11222302000148.0,"149/2, 350/3, KML-Hub with Jumbotail, behind Hamsa Service, Hosur Road,","Dharmaram College P.O, Bengaluru Urban, Karnataka",560029,Bengaluru,KML,BLR_KML,"149/2, 350/3, KML-Hub with Jumbotail, behind Hamsa Service, Hosur Road, Dharmaram College P.O, Bengaluru Urban, Karnataka, 560029",560029,TAILHUB,,,,,,2025-08-08,
,TAILHUB PRIVATE LIMITED,TAILHUB,Karnataka,29,Hennur,,,,DISTRIBUTION_HUB,ACTIVE,29AAGCT1326B1ZO,11222302000145.0,"Survey No 34/2, Chokkanahalli Village, Yelahanka Hobli","Bengaluru Urban, Karnataka",560064,Bengaluru,Hennur,BLR_HNU,"Survey No 34/2, Chokkanahalli Village, Yelahanka Hobli, Bengaluru Urban, Karnataka,560064",560064,TAILHUB,,,,,,2025-08-08,
,TAILHUB PRIVATE LIMITED,TAILHUB,Karnataka,29,BLR_MRT,,,,DISTRIBUTION_HUB,ACTIVE,29AAGCT1326B1ZO,,"Sy.No.35, Doddanakundi Industrial Area, 2nd Main Road","Behind Graphite Indai/IFB Factory, Bengaluru, Bengaluru Urban, Karnataka",560048,Bengaluru,BLR_MRT,BLR_MRT,"Sy.No.35, Doddanakundi Industrial Area, 2nd Main Road, Behind Graphite Indai/IFB Factory, Bengaluru, Bengaluru Urban, Karnataka, 560048",560048,TAILHUB,,,,,,2025-08-08,not applied
,TAILHUB PRIVATE LIMITED,TAILHUB,Karnataka,29,Bengaluru,,,,DISTRIBUTION_HUB,ACTIVE,29AAGCT1326B1ZO,,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South","Talaghatpura, Bengaluru, Bengaluru Urban, Karnataka",560062,Bengaluru,,BLR_KSL,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South, Talaghatpura, Bengaluru, Bengaluru Urban, Karnataka, 560062",560062,TAILHUB,,,,,,2025-08-08,not applied
,SOURCINGBEE RETAIL PRIVATE LIMITED,SOURCINGBEE,Karnataka,29,Airanth,FC-Airanth,AIR,AIR,FULFILLMENT_CENTER,ACTIVE,29AAWCS7485C1ZJ,11220303000515.0,"Survey No.87/1,87/2,88,89/1 and 122, Byranahalli Village","Kasaba Hobli, Nelamangala, Bengaluru Urban, Karnataka",562123,Airanth,,,,,SOURCINGBEE,,,,,,2025-08-08,
,SOURCINGBEE RETAIL PRIVATE LIMITED,SOURCINGBEE,Karnataka,29,Sutlej & Gomati,FC-Sutlej & Gomati,SUT,SUT,FULFILLMENT_CENTER,ACTIVE,29AAWCS7485C1ZJ,11223302000426.0,"Survey No. 73, FC- Satlej/FC- Gomati, Harokyathanahalli Village,Dasanapura Hobli","Bangalore North Taluk, Bengaluru North, Bengaluru Rural, Karnataka",562162,Sutlej & Gomati,,,,,SOURCINGBEE,,,,,,2025-08-08,
,SOURCINGBEE RETAIL PRIVATE LIMITED,SOURCINGBEE,Karnataka,29,KML,,,,DISTRIBUTION_HUB,ACTIVE,29AAWCS7485C1ZJ,11222302001466.0,"149/2, 350/3, KML-Hub with Jumbotail, behind Hamsa Service, Hosur Road,","Dharmaram College P.O, Bengaluru Urban, Karnataka",560029,Bengaluru,KML,BLR_KML,"149/2, 350/3, KML-Hub with Jumbotail, behind Hamsa Service, Hosur Road, Dharmaram College P.O, Bengaluru Urban, Karnataka, 560029",560029,SOURCINGBEE,,,,,,2025-08-08,
,SOURCINGBEE RETAIL PRIVATE LIMITED,SOURCINGBEE,Karnataka,29,Mysore,,,,DISTRIBUTION_HUB,ACTIVE,29AAWCS7485C1ZJ,11223323000122.0,"No 81, Koorgalli Industrial Area","Mysore, Bengaluru Urban, Karnataka,",570018,Mysore,Mysore,MYS_AGR,"No 81, Koorgalli Industrial Area, Mysore, Bengaluru Urban, Karnataka, 570018",570018,SOURCINGBEE,,,,,,2025-08-08,
,SOURCINGBEE RETAIL PRIVATE LIMITED,SOURCINGBEE,Karnataka,29,Hennur,,,,DISTRIBUTION_HUB,ACTIVE,29AAWCS7485C1ZJ,11222331000211.0,"Survey No 34/2, Chokkanahalli Village, Yelahanka Hobli","Bengaluru Urban, Karnataka",560064,Bengaluru,Hennur,BLR_HNU,"Survey No 34/2, Chokkanahalli Village, Yelahanka Hobli, Bengaluru Urban, Karnataka,560064",560064,SOURCINGBEE,,,,,,2025-08-08,
,SOURCINGBEE RETAIL PRIVATE LIMITED,SOURCINGBEE,Karnataka,29,KSL,,,,DISTRIBUTION_HUB,ACTIVE,29AAWCS7485C1ZJ,11223302000485.0,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South","Talaghatpura, Bengaluru, Bengaluru Urban, Karnataka",560062,Bengaluru,KSL,BLR_KSL,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South, Talaghatpura, Bengaluru, Bengaluru Urban, Karnataka, 560062",560062,SOURCINGBEE,,,,,,2025-08-08,
,SOURCINGBEE RETAIL PRIVATE LIMITED,SOURCINGBEE,Karnataka,29,BLR_MRT,,,,DISTRIBUTION_HUB,ACTIVE,29AAWCS7485C1ZJ,11223302000484.0,"Sy.No.35, Doddanakundi Industrial Area, 2nd Main Road","Behind Graphite Indai/IFB Factory, Bengaluru, Bengaluru Urban, Karnataka",560048,Bengaluru,BLR_MRT,BLR_MRT,"Sy.No.35, Doddanakundi Industrial Area, 2nd Main Road, Behind Graphite Indai/IFB Factory, Bengaluru, Bengaluru Urban, Karnataka, 560048",560048,SOURCINGBEE,,,,,,2025-08-08,
,BODEGA RETAIL PRIVATE LIMITED,BODEGA,Odisha,21,Bhubaneswar,FC-Bhubaneswar,BHU,BHU,FULFILLMENT_CENTER,ACTIVE,21AAHCB1357R1ZH,12022999000074.0,"PLOT No 32, Patia, Chandaka Industrial Estat","Bhubaneswar, Khordha, Odisha",751024,Bhubaneswar,,,,,BODEGA,,,,,,2025-08-08,
,BODEGA RETAIL PRIVATE LIMITED,BODEGA,MH,27,Lonikand,FC-Pune,PUN,PUN,FULFILLMENT_CENTER,ACTIVE,27AAHCB1357R1Z5,11523083000298.0,"Gate No 184/179, Lonikand-Theur Bypass Road","Lonikand, Pune, Maharashtra",412216,Pune,,,,,BODEGA,,,,,,2025-08-08,
,BODEGA RETAIL PRIVATE LIMITED,BODEGA,MH,27,Chinchwad,,,,DISTRIBUTION_HUB,ACTIVE,27AAHCB1357R1Z5,11521035000997.0,"Gat No. 163, Talawade Road,Talawade, Haveli, Pune","Pimpri Chinchwad, Pune, Maharashtra",411062,Pune,Chinchwad,PUN_TLW,"Gat No. 163, Talawade Road,Talawade, Haveli, Pune, Pimpri Chinchwad, Pune, Maharashtra, 411062",411062,BODEGA,,,,,,2025-08-08,
,BODEGA RETAIL PRIVATE LIMITED,BODEGA,MH,27,Haveli,,,,DISTRIBUTION_HUB,ACTIVE,27AAHCB1357R1Z5,11523083000297.0,"Survey No.27, Hissa No 9/1B/2, Village Kondhawa Budruk","Taluka Haveli, Pune, Pune, Maharashtra",411048,Pune,Haveli,PUN_PSL,"Survey No.27, Hissa No 9/1B/2, Village Kondhawa Budruk, Taluka Haveli, Pune, Pune, Maharashtra, 411048",411048,BODEGA,,,,,,2025-08-08,
,BODEGA RETAIL PRIVATE LIMITED,BODEGA,Telangana,36,Shameerpet,FC-Hyderabad,HYD,HYD,FULFILLMENT_CENTER,ACTIVE,36AAHCB1357R1Z6,13622034000024.0,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Hyderabad,,,,,BODEGA,,,,,,2025-08-08,
,BODEGA RETAIL PRIVATE LIMITED,BODEGA,Telangana,36,Santosh Nagar,,,,DISTRIBUTION_HUB,ACTIVE,36AAHCB1357R1Z6,13624010000558.0,"Sy. No. 66,72, Door No 5-340/2, Sudhakar Reddy Gardens","Jillelguda Village, Balapur Mandal, Hyderabad, Rangareddy, Telangana",500097,Hyderabad,Santosh Nagar,HYD_SAN,"Sy. No. 66,72, Door No 5-340/2, Sudhakar Reddy Gardens, Jillelguda Village, Balapur Mandal, Hyderabad, Rangareddy, Telangana, 500097",500097,BODEGA,,,,,,2025-08-08,
,BODEGA RETAIL PRIVATE LIMITED,BODEGA,Telangana,36,Nacharam,,,,DISTRIBUTION_HUB,ACTIVE,36AAHCB1357R1Z6,13621012000886.0,"Sy. No.32/1, Plot No.1, 8-142, Road No.1, IDA, Nacharam Village","Uppal Municipality, Hyderabad, Medchal Malkajgiri, Telangana",500076,Hyderabad,Nacharam,HYD_NCH,"Sy. No.32/1, Plot No.1, 8-142, Road No.1, IDA, Nacharam Village, Uppal Municipality, Hyderabad, Medchal Malkajgiri, Telangana, 500076",500076,BODEGA,,,,,,2025-08-08,
,BODEGA RETAIL PRIVATE LIMITED,BODEGA,Telangana,36,Gandhi Nagar,,,,DISTRIBUTION_HUB,ACTIVE,36AAHCB1357R1Z6,13622014001249.0,Plot No.35 of the Co-Operative Industrial Estate Ltd,"Gandhinagar Balanagar Hyderabad, Hyderabad, Hyderabad, Telangana",500037,Hyderabad,Gandhi Nagar,HYD_BAL,"Plot No.35 of the Co-Operative Industrial Estate Ltd, Gandhinagar Balanagar Hyderabad, Hyderabad, Hyderabad, Telangana, 500037",500037,BODEGA,,,,,,2025-08-08,
,BODEGA RETAIL PRIVATE LIMITED,BODEGA,Karnataka,29,Airanth,FC-Airanth,AIR,AIR,FULFILLMENT_CENTER,ACTIVE,29AAHCB1357R1Z1,11220303000400.0,"Survey No 87/1,87/2,88/2,88/3,89/1,122, Arihant-Vikrant, Byranahalli Village Kasaba Hobli,","Nelamangala Taluka, Bengaluru Rural, Karnataka",562123,Airanth,,,,,BODEGA,,,,,,2025-08-08,
,BODEGA RETAIL PRIVATE LIMITED,BODEGA,Karnataka,29,Sutlej & Gomati,FC-Sutlej & Gomati,SUT,SUT,FULFILLMENT_CENTER,ACTIVE,29AAHCB1357R1Z1,11220302000775.0,"Survey No. 73, FC- Satlej/FC- Gomati, Harokyathanahalli Village,Dasanapura Hobli","Bangalore North Taluk, Bengaluru North, Bengaluru Rural, Karnataka",562162,Sutlej & Gomati,,,,,BODEGA,,,,,,2025-08-08,
,BODEGA RETAIL PRIVATE LIMITED,BODEGA,Karnataka,29,KML,,,,DISTRIBUTION_HUB,ACTIVE,29AAHCB1357R1Z1,11222302001451.0,"149/2, 350/3, KML-Hub with Jumbotail, behind Hamsa Service, Hosur Road,","Dharmaram College P.O, Bengaluru Urban, Karnataka",560029,Bengaluru,KML,BLR_KML,"149/2, 350/3, KML-Hub with Jumbotail, behind Hamsa Service, Hosur Road, Dharmaram College P.O, Bengaluru Urban, Karnataka, 560029",560029,BODEGA,,,,,,2025-08-08,
,BODEGA RETAIL PRIVATE LIMITED,BODEGA,Karnataka,29,Mysore,,,,DISTRIBUTION_HUB,ACTIVE,29AAHCB1357R1Z1,11223323000123.0,"No 81, Koorgalli Industrial Area","Mysore, Bengaluru Urban, Karnataka,",570018,Mysore,Mysore,MYS_AGR,"No 81, Koorgalli Industrial Area, Mysore, Bengaluru Urban, Karnataka, 570018",570018,BODEGA,,,,,,2025-08-08,
