org_profile_id,org_name
ORGPROF-1304473987,Aurora Ventures
ORGPROF-1304473989,Sri Lakshmi Devi Agro Rice Industries
ORGPROF-1304473992,Sri Gururaja Traders
ORGPROF-1304473994,Atlas Distributors Pvt Ltd
ORGPROF-1304473995,SRI RAGHAVENDRA DISTRIBUTORS
ORGPROF-1304473999,S K S Enterprises
ORGPROF-1304474001,Asma Trading Co
ORGPROF-1304474002,SNEHA ENTERPRISES
ORGPROF-1304474006,J.R.C.Enterprises
ORGPROF-1304474008,GO DESI MANDI PRIVATE LIMITED
ORGPROF-1304474012,PERFETTI VAN MELLE INDIA PVT LTD.
ORGPROF-1304474013,Thandavesh Swadeshi Bhandar
ORGPROF-1304474019,R G PATIL AND CO
ORGPROF-1304474020,MAHI GOURMET FOODS
ORGPROF-1304474021,RATHNA ENTERPRISES
ORGPROF-1304474025,Capital Foods Pvt. Ltd.(Bangalore)
ORGPROF-1304474027,Bola Surendra Kamath & Sons
ORGPROF-1304474032,HARIOM ENTERPRISES
ORGPROF-1304474035,VK Enterprises
ORGPROF-1304474038,Mahateja Rice Mills Private Limited
ORGPROF-1304474040,COLGATE PALMOLIVE INDIA LTD
ORGPROF-1304474042,Shambhavi Syndicate
ORGPROF-1304474047,SRI SAI TRADERS
ORGPROF-1304474050,ROXY ROLLER FLOUR MILLS (Stock Transfer)
ORGPROF-1304474051,Harikishan and co (stock transfer)
ORGPROF-1304474056,KARNATAKA COOPERATIVE OILSEEDS GROWERS FEDERATION LTD
ORGPROF-1304474067,Guru Bheema Traders (Stock Transfer)
ORGPROF-1304474071,AMAR STATIONERS
ORGPROF-1304474073,VIKAS OIL INDUSTRIES
ORGPROF-1304474074,Siva Marketing( Stock Transfer)
ORGPROF-1304474079,The Nature Honey
ORGPROF-1304474091,K K Enterprises
ORGPROF-1304474092,Sri Badrinarayana Industries
ORGPROF-1304474093,RECKITT BENCKISER (INDIA) PRIVATE LIMITED (HYHO) Temporary
ORGPROF-1304474105,MATHRUBAI ENTERPRISES
ORGPROF-1304474107,Mathrubai Enterprises
ORGPROF-1304474273,MURTHY MARKETING
ORGPROF-1304474289,SHREE VEERABHADRESHWAR TRADERS
ORGPROF-1304474291,Mehboob & Co(Liquidation)
ORGPROF-1304474294,U.T. Trading & co
ORGPROF-1304474295,Hindveda Private Limited
ORGPROF-1304474296,YCOOK INDIA PRIVATE LIMITED
